# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-25 11:51:23 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11455420 SACRAMENTO R A RIO VISTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11455420
#            TS   parameter     Description
#         16187       00065     Gage height, feet, [PUBLISHED]
#         16194       00010     Temperature, water, degrees Celsius
#         16195       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	16187_00065	16187_00065_cd	16194_00010	16194_00010_cd	16195_00095	16195_00095_cd
USGS	11455420	2019-09-28 13:45	PST	6.08	P	19.3	P	144	P
USGS	11455420	2019-09-28 14:00	PST	6.18	P	19.3	P	144	P
USGS	11455420	2019-09-28 14:15	PST	6.28	P	19.4	P	144	P
USGS	11455420	2019-09-28 14:30	PST	6.38	P	19.4	P	144	P
USGS	11455420	2019-09-28 14:45	PST	6.49	P	19.4	P	144	P
USGS	11455420	2019-09-28 15:00	PST	6.59	P	19.5	P	144	P
USGS	11455420	2019-09-28 15:15	PST	6.68	P	19.5	P	144	P
USGS	11455420	2019-09-28 15:30	PST	6.74	P	19.5	P	144	P
USGS	11455420	2019-09-28 15:45	PST	6.78	P	19.5	P	144	P
USGS	11455420	2019-09-28 16:00	PST	6.77	P	19.5	P	143	P
USGS	11455420	2019-09-28 16:15	PST	6.75	P	19.5	P	143	P
USGS	11455420	2019-09-28 16:30	PST	6.71	P	19.5	P	143	P
USGS	11455420	2019-09-28 16:45	PST	6.63	P	19.5	P	143	P
USGS	11455420	2019-09-28 17:00	PST	6.51	P	19.5	P	143	P
USGS	11455420	2019-09-28 17:15	PST	6.35	P	19.5	P	143	P
USGS	11455420	2019-09-28 17:30	PST	6.17	P	19.5	P	143	P
USGS	11455420	2019-09-28 17:45	PST	5.99	P	19.5	P	144	P
USGS	11455420	2019-09-28 18:00	PST	5.83	P	19.5	P	144	P
USGS	11455420	2019-09-28 18:15	PST	5.68	P	19.5	P	144	P
USGS	11455420	2019-09-28 18:30	PST	5.53	P	19.4	P	144	P
USGS	11455420	2019-09-28 18:45	PST	5.35	P	19.4	P	144	P
USGS	11455420	2019-09-28 19:00	PST	5.20	P	19.4	P	144	P
USGS	11455420	2019-09-28 19:15	PST	5.09	P	19.4	P	144	P
USGS	11455420	2019-09-28 19:30	PST	4.90	P	19.4	P	145	P
USGS	11455420	2019-09-28 19:45	PST	4.79	P	19.3	P	143	P
USGS	11455420	2019-09-28 20:00	PST	4.68	P	19.3	P	143	P
USGS	11455420	2019-09-28 20:15	PST	4.53	P	19.3	P	143	P
USGS	11455420	2019-09-28 20:30	PST	4.37	P	19.3	P	144	P
USGS	11455420	2019-09-28 20:45	PST	4.28	P	19.2	P	145	P
USGS	11455420	2019-09-28 21:00	PST	4.17	P	19.2	P	145	P
USGS	11455420	2019-09-28 21:15	PST	4.05	P	19.2	P	145	P
USGS	11455420	2019-09-28 21:30	PST	3.96	P	19.2	P	144	P
USGS	11455420	2019-09-28 21:45	PST	3.88	P	19.1	P	144	P
USGS	11455420	2019-09-28 22:00	PST	3.80	P	19.1	P	145	P
USGS	11455420	2019-09-28 22:15	PST	3.76	P	19.1	P	145	P
USGS	11455420	2019-09-28 22:30	PST	3.77	P	19.1	P	145	P
USGS	11455420	2019-09-28 22:45	PST	3.84	P	19.1	P	146	P
USGS	11455420	2019-09-28 23:00	PST	3.98	P	19.1	P	146	P
USGS	11455420	2019-09-28 23:15	PST	4.19	P	19.1	P	147	P
USGS	11455420	2019-09-28 23:30	PST	4.47	P	19.1	P	147	P
USGS	11455420	2019-09-28 23:45	PST	4.75	P	19.1	P	148	P
USGS	11455420	2019-09-29 00:00	PST	4.99	P	19.1	P	147	P
USGS	11455420	2019-09-29 00:15	PST	5.20	P	19.1	P	147	P
USGS	11455420	2019-09-29 00:30	PST	5.38	P	19.1	P	146	P
USGS	11455420	2019-09-29 00:45	PST	5.55	P	19.1	P	146	P
USGS	11455420	2019-09-29 01:00	PST	5.73	P	19.1	P	146	P
USGS	11455420	2019-09-29 01:15	PST	5.90	P	19.1	P	145	P
USGS	11455420	2019-09-29 01:30	PST	6.05	P	19.1	P	145	P
USGS	11455420	2019-09-29 01:45	PST	6.17	P	19.1	P	145	P
USGS	11455420	2019-09-29 02:00	PST	6.28	P	19.2	P	145	P
USGS	11455420	2019-09-29 02:15	PST	6.38	P	19.2	P	145	P
USGS	11455420	2019-09-29 02:30	PST	6.47	P	19.2	P	144	P
USGS	11455420	2019-09-29 02:45	PST	6.55	P	19.2	P	144	P
USGS	11455420	2019-09-29 03:00	PST	6.61	P	19.2	P	144	P
USGS	11455420	2019-09-29 03:15	PST	6.67	P	19.2	P	144	P
USGS	11455420	2019-09-29 03:30	PST	6.71	P	19.2	P	144	P
USGS	11455420	2019-09-29 03:45	PST	6.73	P	19.2	P	144	P
USGS	11455420	2019-09-29 04:00	PST	6.72	P	19.2	P	145	P
USGS	11455420	2019-09-29 04:15	PST	6.67	P	19.2	P	145	P
USGS	11455420	2019-09-29 04:30	PST	6.57	P	19.2	P	145	P
USGS	11455420	2019-09-29 04:45	PST	6.43	P	19.2	P	145	P
USGS	11455420	2019-09-29 05:00	PST	6.26	P	19.2	P	145	P
USGS	11455420	2019-09-29 05:15	PST	6.06	P	19.2	P	146	P
USGS	11455420	2019-09-29 05:30	PST	5.87	P	19.1	P	145	P
USGS	11455420	2019-09-29 05:45	PST	5.67	P	19.1	P	145	P
USGS	11455420	2019-09-29 06:00	PST	5.49	P	19.1	P	144	P
USGS	11455420	2019-09-29 06:15	PST	5.32	P	19.1	P	144	P
USGS	11455420	2019-09-29 06:30	PST	5.16	P	19.1	P	144	P
USGS	11455420	2019-09-29 06:45	PST	5.00	P	19.0	P	144	P
USGS	11455420	2019-09-29 07:00	PST	4.85	P	19.0	P	144	P
USGS	11455420	2019-09-29 07:15	PST	4.71	P	18.9	P	144	P
USGS	11455420	2019-09-29 07:30	PST	4.57	P	18.9	P	143	P
USGS	11455420	2019-09-29 07:45	PST	4.42	P	18.9	P	143	P
USGS	11455420	2019-09-29 08:00	PST	4.28	P	18.9	P	144	P
USGS	11455420	2019-09-29 08:15	PST	4.16	P	18.9	P	144	P
USGS	11455420	2019-09-29 08:30	PST	4.03	P	18.9	P	144	P
USGS	11455420	2019-09-29 08:45	PST	3.91	P	18.8	P	143	P
USGS	11455420	2019-09-29 09:00	PST	3.78	P	18.9	P	144	P
USGS	11455420	2019-09-29 09:15	PST	3.64	P	18.9	P	144	P
USGS	11455420	2019-09-29 09:30	PST	3.52	P	18.8	P	143	P
USGS	11455420	2019-09-29 09:45	PST	3.42	P	18.8	P	143	P
USGS	11455420	2019-09-29 10:00	PST	3.30	P	18.8	P	144	P
USGS	11455420	2019-09-29 10:15	PST	3.23	P	18.8	P	145	P
USGS	11455420	2019-09-29 10:30	PST	3.16	P	18.8	P	145	P
USGS	11455420	2019-09-29 10:45	PST	3.17	P	18.8	P	145	P
USGS	11455420	2019-09-29 11:00	PST	3.21	P	18.8	P	145	P
USGS	11455420	2019-09-29 11:15	PST	3.33	P	18.9	P	146	P
USGS	11455420	2019-09-29 11:30	PST	3.55	P	18.9	P	146	P
USGS	11455420	2019-09-29 11:45	PST	3.85	P	18.8	P	146	P
USGS	11455420	2019-09-29 12:00	PST	4.19	P	18.9	P	145	P
USGS	11455420	2019-09-29 12:15	PST	4.47	P	18.9	P	146	P
USGS	11455420	2019-09-29 12:30	PST	4.70	P	18.9	P	146	P
USGS	11455420	2019-09-29 12:45	PST	4.91	P	18.9	P	146	P
USGS	11455420	2019-09-29 13:00	PST	5.11	P	19.0	P	147	P
USGS	11455420	2019-09-29 13:15	PST	5.31	P	19.0	P	146	P
USGS	11455420	2019-09-29 13:30	PST	5.50	P	19.0	P	146	P
USGS	11455420	2019-09-29 13:45	PST	5.67	P	19.0	P	145	P
USGS	11455420	2019-09-29 14:00	PST	5.82	P	19.0	P	145	P
USGS	11455420	2019-09-29 14:15	PST	5.96	P	19.0	P	144	P
USGS	11455420	2019-09-29 14:30	PST	6.08	P	19.0	P	145	P
USGS	11455420	2019-09-29 14:45	PST	6.20	P	19.1	P	144	P
USGS	11455420	2019-09-29 15:00	PST	6.31	P	19.1	P	145	P
USGS	11455420	2019-09-29 15:15	PST	6.42	P	19.1	P	145	P
USGS	11455420	2019-09-29 15:30	PST	6.51	P	19.1	P	144	P
USGS	11455420	2019-09-29 15:45	PST	6.61	P	19.1	P	144	P
USGS	11455420	2019-09-29 16:00	PST	6.68	P	19.2	P	144	P
USGS	11455420	2019-09-29 16:15	PST	6.74	P	19.1	P	145	P
USGS	11455420	2019-09-29 16:30	PST	6.76	P	19.1	P	144	P
USGS	11455420	2019-09-29 16:45	PST	6.77	P	19.1	P	145	P
USGS	11455420	2019-09-29 17:00	PST	6.73	P	19.1	P	145	P
USGS	11455420	2019-09-29 17:15	PST	6.67	P	19.2	P	145	P
USGS	11455420	2019-09-29 17:30	PST	6.54	P	19.2	P	145	P
USGS	11455420	2019-09-29 17:45	PST	6.39	P	19.1	P	145	P
USGS	11455420	2019-09-29 18:00	PST	6.17	P	19.1	P	145	P
USGS	11455420	2019-09-29 18:15	PST	5.95	P	19.1	P	145	P
USGS	11455420	2019-09-29 18:30	PST	5.75	P	19.1	P	145	P
USGS	11455420	2019-09-29 18:45	PST	5.57	P	19.1	P	145	P
USGS	11455420	2019-09-29 19:00	PST	5.40	P	19.1	P	145	P
USGS	11455420	2019-09-29 19:15	PST	5.26	P	19.1	P	146	P
USGS	11455420	2019-09-29 19:30	PST	5.07	P	19.1	P	147	P
USGS	11455420	2019-09-29 19:45	PST	4.92	P	19.1	P	147	P
USGS	11455420	2019-09-29 20:00	PST	4.78	P	19.1	P	147	P
USGS	11455420	2019-09-29 20:15	PST	4.64	P	19.0	P	144	P
USGS	11455420	2019-09-29 20:30	PST	4.46	P	19.0	P	143	P
USGS	11455420	2019-09-29 20:45	PST	4.35	P	19.0	P	144	P
USGS	11455420	2019-09-29 21:00	PST	4.23	P	18.9	P	145	P
USGS	11455420	2019-09-29 21:15	PST	4.08	P	18.9	P	145	P
USGS	11455420	2019-09-29 21:30	PST	3.96	P	18.9	P	144	P
USGS	11455420	2019-09-29 21:45	PST	3.84	P	18.9	P	144	P
USGS	11455420	2019-09-29 22:00	PST	3.72	P	18.9	P	143	P
USGS	11455420	2019-09-29 22:15	PST	3.61	P	18.8	P	143	P
USGS	11455420	2019-09-29 22:30	PST	3.52	P	18.8	P	143	P
USGS	11455420	2019-09-29 22:45	PST	3.44	P	18.8	P	143	P
USGS	11455420	2019-09-29 23:00	PST	3.38	P	18.7	P	143	P
USGS	11455420	2019-09-29 23:15	PST	3.38	P	18.7	P	144	P
USGS	11455420	2019-09-29 23:30	PST	3.41	P	18.7	P	144	P
USGS	11455420	2019-09-29 23:45	PST	3.49	P	18.7	P	144	P
USGS	11455420	2019-09-30 00:00	PST	3.67	P	18.7	P	144	P
USGS	11455420	2019-09-30 00:15	PST	3.92	P	18.7	P	145	P
USGS	11455420	2019-09-30 00:30	PST	4.23	P	18.7	P	146	P
USGS	11455420	2019-09-30 00:45	PST	4.54	P	18.7	P	144	P
USGS	11455420	2019-09-30 01:00	PST	4.78	P	18.7	P	145	P
USGS	11455420	2019-09-30 01:15	PST	4.97	P	18.7	P	144	P
USGS	11455420	2019-09-30 01:30	PST	5.15	P	18.7	P	144	P
USGS	11455420	2019-09-30 01:45	PST	5.32	P	18.7	P	145	P
USGS	11455420	2019-09-30 02:00	PST	5.48	P	18.7	P	144	P
USGS	11455420	2019-09-30 02:15	PST	5.65	P	18.7	P	144	P
USGS	11455420	2019-09-30 02:30	PST	5.79	P	18.7	P	144	P
USGS	11455420	2019-09-30 02:45	PST	5.92	P	18.8	P	145	P
USGS	11455420	2019-09-30 03:00	PST	6.02	P	18.8	P	145	P
USGS	11455420	2019-09-30 03:15	PST	6.10	P	18.8	P	145	P
USGS	11455420	2019-09-30 03:30	PST	6.18	P	18.8	P	145	P
USGS	11455420	2019-09-30 03:45	PST	6.25	P	18.8	P	145	P
USGS	11455420	2019-09-30 04:00	PST	6.32	P	18.8	P	144	P
USGS	11455420	2019-09-30 04:15	PST	6.38	P	18.8	P	144	P
USGS	11455420	2019-09-30 04:30	PST	6.42	P	18.8	P	144	P
USGS	11455420	2019-09-30 04:45	PST	6.45	P	18.8	P	145	P
USGS	11455420	2019-09-30 05:00	PST	6.44	P	18.8	P	146	P
USGS	11455420	2019-09-30 05:15	PST	6.40	P	18.8	P	146	P
USGS	11455420	2019-09-30 05:30	PST	6.30	P	18.8	P	146	P
USGS	11455420	2019-09-30 05:45	PST	6.18	P	18.8	P	146	P
USGS	11455420	2019-09-30 06:00	PST	6.02	P	18.8	P	146	P
USGS	11455420	2019-09-30 06:15	PST	5.83	P	18.8	P	146	P
USGS	11455420	2019-09-30 06:30	PST	5.64	P	18.8	P	147	P
USGS	11455420	2019-09-30 06:45	PST	5.46	P	18.7	P	145	P
USGS	11455420	2019-09-30 07:00	PST	5.28	P	18.7	P	144	P
USGS	11455420	2019-09-30 07:15	PST	5.11	P	18.7	P	144	P
USGS	11455420	2019-09-30 07:30	PST	4.94	P	18.7	P	144	P
USGS	11455420	2019-09-30 07:45	PST	4.79	P	18.7	P	144	P
USGS	11455420	2019-09-30 08:00	PST	4.64	P	18.6	P	143	P
USGS	11455420	2019-09-30 08:15	PST	4.49	P	18.6	P	142	P
USGS	11455420	2019-09-30 08:30	PST	4.35	P	18.5	P	140	P
USGS	11455420	2019-09-30 08:45	PST	4.22	P	18.5	P	140	P
USGS	11455420	2019-09-30 09:00	PST	4.09	P	18.6	P	141	P
USGS	11455420	2019-09-30 09:15	PST	3.97	P	18.5	P	141	P
USGS	11455420	2019-09-30 09:30	PST	3.84	P	18.5	P	141	P
USGS	11455420	2019-09-30 09:45	PST	3.73	P	18.5	P	139	P
USGS	11455420	2019-09-30 10:00	PST	3.61	P	18.5	P	139	P
USGS	11455420	2019-09-30 10:15	PST	3.51	P	18.5	P	140	P
USGS	11455420	2019-09-30 10:30	PST	3.42	P	18.5	P	139	P
USGS	11455420	2019-09-30 10:45	PST	3.34	P	18.4	P	139	P
USGS	11455420	2019-09-30 11:00	PST	3.28	P	18.4	P	139	P
USGS	11455420	2019-09-30 11:15	PST	3.26	P	18.4	P	138	P
USGS	11455420	2019-09-30 11:30	PST	3.27	P	18.4	P	140	P
USGS	11455420	2019-09-30 11:45	PST	3.38	P	18.4	P	139	P
USGS	11455420	2019-09-30 12:00	PST	3.55	P	18.5	P	141	P
USGS	11455420	2019-09-30 12:15	PST	3.80	P	18.4	P	140	P
USGS	11455420	2019-09-30 12:30	PST	4.10	P	18.4	P	141	P
USGS	11455420	2019-09-30 12:45	PST	4.40	P	18.5	P	141	P
USGS	11455420	2019-09-30 13:00	PST	4.65	P	18.5	P	140	P
USGS	11455420	2019-09-30 13:15	PST	4.87	P	18.5	P	139	P
USGS	11455420	2019-09-30 13:30	PST	5.08	P	18.6	P	141	P
USGS	11455420	2019-09-30 13:45	PST	5.27	P	18.6	P	140	P
USGS	11455420	2019-09-30 14:00	PST	5.46	P	18.6	P	141	P
USGS	11455420	2019-09-30 14:15	PST	5.64	P	18.6	P	141	P
USGS	11455420	2019-09-30 14:30	PST	5.79	P	18.7	P	141	P
USGS	11455420	2019-09-30 14:45	PST	5.94	P	18.7	P	140	P
USGS	11455420	2019-09-30 15:00	PST	6.08	P	18.7	P	141	P
USGS	11455420	2019-09-30 15:15	PST	6.20	P	18.7	P	142	P
USGS	11455420	2019-09-30 15:30	PST	6.28	P	18.8	P	142	P
USGS	11455420	2019-09-30 15:45	PST	6.40	P	18.8	P	142	P
USGS	11455420	2019-09-30 16:00	PST	6.51	P	18.8	P	142	P
USGS	11455420	2019-09-30 16:15	PST	6.60	P	18.9	P	143	P
USGS	11455420	2019-09-30 16:30	PST	6.67	P	18.9	P	144	P
USGS	11455420	2019-09-30 16:45	PST	6.73	P	18.9	P	144	P
USGS	11455420	2019-09-30 17:00	PST	6.76	P	18.9	P	144	P
USGS	11455420	2019-09-30 17:15	PST	6.76	P	18.9	P	145	P
USGS	11455420	2019-09-30 17:30	PST	6.72	P	18.9	P	145	P
USGS	11455420	2019-09-30 17:45	PST	6.65	P	18.9	P	145	P
USGS	11455420	2019-09-30 18:00	PST	6.53	P	18.9	P	145	P
USGS	11455420	2019-09-30 18:15	PST	6.37	P	18.9	P	145	P
USGS	11455420	2019-09-30 18:30	PST	6.18	P	18.9	P	145	P
USGS	11455420	2019-09-30 18:45	PST	5.97	P	18.9	P	145	P
USGS	11455420	2019-09-30 19:00	PST	5.77	P	18.8	P	145	P
USGS	11455420	2019-09-30 19:15	PST	5.59	P	18.9	P	145	P
USGS	11455420	2019-09-30 19:30	PST	5.42	P	18.9	P	145	P
USGS	11455420	2019-09-30 19:45	PST	5.25	P	18.8	P	144	P
USGS	11455420	2019-09-30 20:00	PST	5.09	P	18.8	P	145	P
USGS	11455420	2019-09-30 20:15	PST	4.92	P	18.8	P	144	P
USGS	11455420	2019-09-30 20:30	PST	4.76	P	18.8	P	143	P
USGS	11455420	2019-09-30 20:45	PST	4.60	P	18.7	P	141	P
USGS	11455420	2019-09-30 21:00	PST	4.45	P	18.7	P	141	P
USGS	11455420	2019-09-30 21:15	PST	4.31	P	18.7	P	141	P
USGS	11455420	2019-09-30 21:30	PST	4.18	P	18.6	P	140	P
USGS	11455420	2019-09-30 21:45	PST	4.05	P	18.6	P	140	P
USGS	11455420	2019-09-30 22:00	PST	3.91	P	18.5	P	139	P
USGS	11455420	2019-09-30 22:15	PST	3.78	P	18.5	P	138	P
USGS	11455420	2019-09-30 22:30	PST	3.65	P	18.5	P	137	P
USGS	11455420	2019-09-30 22:45	PST	3.52	P	18.4	P	137	P
USGS	11455420	2019-09-30 23:00	PST	3.40	P	18.4	P	138	P
USGS	11455420	2019-09-30 23:15	PST	3.28	P	18.3	P	137	P
USGS	11455420	2019-09-30 23:30	PST	3.18	P	18.3	P	138	P
USGS	11455420	2019-09-30 23:45	PST	3.09	P	18.3	P	139	P
USGS	11455420	2019-10-01 00:00	PST	3.02	P	18.2	P	138	P
USGS	11455420	2019-10-01 00:15	PST	2.99	P	18.2	P	140	P
USGS	11455420	2019-10-01 00:30	PST	3.02	P	18.2	P	139	P
USGS	11455420	2019-10-01 00:45	PST	3.11	P	18.2	P	139	P
USGS	11455420	2019-10-01 01:00	PST	3.28	P	18.2	P	140	P
USGS	11455420	2019-10-01 01:15	PST	3.51	P	18.2	P	140	P
USGS	11455420	2019-10-01 01:30	PST	3.80	P	18.1	P	140	P
USGS	11455420	2019-10-01 01:45	PST	4.08	P	18.1	P	140	P
USGS	11455420	2019-10-01 02:00	PST	4.31	P	18.2	P	142	P
USGS	11455420	2019-10-01 02:15	PST	4.50	P	18.1	P	139	P
USGS	11455420	2019-10-01 02:30	PST	4.68	P	18.2	P	139	P
USGS	11455420	2019-10-01 02:45	PST	4.86	P	18.2	P	140	P
USGS	11455420	2019-10-01 03:00	PST	5.04	P	18.2	P	140	P
USGS	11455420	2019-10-01 03:15	PST	5.20	P	18.2	P	139	P
USGS	11455420	2019-10-01 03:30	PST	5.36	P	18.2	P	139	P
USGS	11455420	2019-10-01 03:45	PST	5.48	P	18.3	P	139	P
USGS	11455420	2019-10-01 04:00	PST	5.58	P	18.3	P	139	P
USGS	11455420	2019-10-01 04:15	PST	5.68	P	18.3	P	139	P
USGS	11455420	2019-10-01 04:30	PST	5.76	P	18.3	P	139	P
USGS	11455420	2019-10-01 04:45	PST	5.83	P	18.3	P	139	P
USGS	11455420	2019-10-01 05:00	PST	5.89	P	18.4	P	140	P
USGS	11455420	2019-10-01 05:15	PST	5.94	P	18.4	P	140	P
USGS	11455420	2019-10-01 05:30	PST	5.97	P	18.4	P	140	P
USGS	11455420	2019-10-01 05:45	PST	5.99	P	18.4	P	140	P
USGS	11455420	2019-10-01 06:00	PST	5.98	P	18.4	P	141	P
USGS	11455420	2019-10-01 06:15	PST	5.94	P	18.4	P	141	P
USGS	11455420	2019-10-01 06:30	PST	5.86	P	18.4	P	141	P
USGS	11455420	2019-10-01 06:45	PST	5.74	P	18.4	P	141	P
USGS	11455420	2019-10-01 07:00	PST	5.59	P	18.4	P	141	P
USGS	11455420	2019-10-01 07:15	PST	5.42	P	18.4	P	141	P
USGS	11455420	2019-10-01 07:30	PST	5.23	P	18.4	P	141	P
USGS	11455420	2019-10-01 07:45	PST	5.05	P	18.3	P	140	P
USGS	11455420	2019-10-01 08:00	PST	4.88	P	18.3	P	140	P
USGS	11455420	2019-10-01 08:15	PST	4.73	P	18.3	P	140	P
USGS	11455420	2019-10-01 08:30	PST	4.58	P	18.3	P	139	P
USGS	11455420	2019-10-01 08:45	PST	4.44	P	18.2	P	138	P
USGS	11455420	2019-10-01 09:00	PST	4.29	P	18.2	P	137	P
USGS	11455420	2019-10-01 09:15	PST	4.15	P	18.1	P	136	P
USGS	11455420	2019-10-01 09:30	PST	4.01	P	18.1	P	135	P
USGS	11455420	2019-10-01 09:45	PST	3.88	P	17.9	P	133	P
USGS	11455420	2019-10-01 10:00	PST	3.76	P	18.0	P	134	P
USGS	11455420	2019-10-01 10:15	PST	3.64	P	18.0	P	135	P
USGS	11455420	2019-10-01 10:30	PST	3.55	P	18.0	P	136	P
USGS	11455420	2019-10-01 10:45	PST	3.46	P	18.0	P	137	P
USGS	11455420	2019-10-01 11:00	PST	3.37	P	18.0	P	137	P
USGS	11455420	2019-10-01 11:15	PST	3.30	P	18.0	P	137	P
USGS	11455420	2019-10-01 11:30	PST	3.24	P	18.0	P	137	P
USGS	11455420	2019-10-01 11:45	PST	3.22	P	18.0	P	137	P
